complaint_id,date_received,district_occurrence,general_cap_classification,summary,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
16-0346,2016-08-03,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 7-11-16 at 6:49pm, they were improperly issued a ticket by an officer assigned to the 19th District.",53367044,black,male,1900 19TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0347,2016-08-03,3900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 7-12-16 at 9:00am, they were falsely issued a moving violation by officers assigned to the 39th District.",67968217,latino,female,9807 SUPP POLICE SERVICE,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0347,2016-08-03,3900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 7-12-16 at 9:00am, they were falsely issued a moving violation by officers assigned to the 39th District.",41512109,latino,male,3900 39TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0348,2016-08-03,1500,HARASSMENT,"According to the complainant, on several occasions they have been harassed by detectives assigned to Northeast Detective Division.",68968660,white,female,6400 NORTHEAST DET,Harassment,No Sustained Findings,Not Applicable
16-0348,2016-08-03,1500,HARASSMENT,"According to the complainant, on several occasions they have been harassed by detectives assigned to Northeast Detective Division.",72872926,white,male,6400 NORTHEAST DET,Harassment,No Sustained Findings,Not Applicable
16-0349,2016-07-25,0200,DOMESTIC,"According to the complainant, on 7-11-16 at 5:30pm, they were threatened by an officer assigned to the 25th District.",82242204,latino,female,2500 25TH DISTRICT,Domestic,No Sustained Findings,Not Applicable
16-0350,2016-07-19,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-2-16 they were treated unprofessionally by an officer assigned to the 18th District.",50726892,black,female,1800 18TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0352,2016-07-28,1500,PHYSICAL ABUSE,"According to the complainant, on 6-22-16 at 6:30pm, they were physically abused by officers assigned to the 15th District.",94793741,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0352,2016-07-28,1500,PHYSICAL ABUSE,"According to the complainant, on 6-22-16 at 6:30pm, they were physically abused by officers assigned to the 15th District.",42238580,black,female,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0352,2016-07-28,1500,PHYSICAL ABUSE,"According to the complainant, on 6-22-16 at 6:30pm, they were physically abused by officers assigned to the 15th District.",41675531,black,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0352,2016-07-28,1500,PHYSICAL ABUSE,"According to the complainant, on 6-22-16 at 6:30pm, they were physically abused by officers assigned to the 15th District.",48747636,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0354,2016-07-29,0500,VERBAL ABUSE,"According to the complainant, on 6-24-16 and 6-25-16, officers assigned to the 5th District treated them unprofessionally and did not provide them with proper service.",11311723,latino,female,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0354,2016-07-29,0500,VERBAL ABUSE,"According to the complainant, on 6-24-16 and 6-25-16, officers assigned to the 5th District treated them unprofessionally and did not provide them with proper service.",17717096,black,female,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0354,2016-07-29,0500,VERBAL ABUSE,"According to the complainant, on 6-24-16 and 6-25-16, officers assigned to the 5th District treated them unprofessionally and did not provide them with proper service.",76725694,black,male,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0354,2016-07-29,0500,VERBAL ABUSE,"According to the complainant, on 6-24-16 and 6-25-16, officers assigned to the 5th District treated them unprofessionally and did not provide them with proper service.",44376794,black,male,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0354,2016-07-29,0500,VERBAL ABUSE,"According to the complainant, on 6-24-16 and 6-25-16, officers assigned to the 5th District treated them unprofessionally and did not provide them with proper service.",56939660,black,male,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0354,2016-07-29,0500,VERBAL ABUSE,"According to the complainant, on 6-24-16 and 6-25-16, officers assigned to the 5th District treated them unprofessionally and did not provide them with proper service.",48582841,black,female,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0355,2016-07-29,2500,LACK OF SERVICE,"According to the complainant, on 10-24-14 at 3:30am, they did not receive proper service from an officer assigned to the Special Victims Unit.",47581025,black,female,6702 SPECIAL VICTIMS UNI,Departmental Violation,Sustained Finding,Guilty Finding
16-0355,2016-07-29,2500,LACK OF SERVICE,"According to the complainant, on 10-24-14 at 3:30am, they did not receive proper service from an officer assigned to the Special Victims Unit.",47581025,black,female,6702 SPECIAL VICTIMS UNI,Lack of Service,Sustained Finding,Guilty Finding
16-0355,2016-07-29,2500,LACK OF SERVICE,"According to the complainant, on 10-24-14 at 3:30am, they did not receive proper service from an officer assigned to the Special Victims Unit.",47581025,black,female,6702 SPECIAL VICTIMS UNI,Departmental Violation,Sustained Finding,Guilty Finding
16-0356,2016-07-29,1200,LACK OF SERVICE,"According to the complainant, on 7-8-16 at 8:00pm, they did not receive proper service from officers assigned to the 12th District.",44232942,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0357,2016-07-29,0800,LACK OF SERVICE,"According to the complainant, on 7-9-16 at 2:40pm, they did not receive proper service from officers assigned to the 8th District.",60193673,white,male,0800 08TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0357,2016-07-29,0800,LACK OF SERVICE,"According to the complainant, on 7-9-16 at 2:40pm, they did not receive proper service from officers assigned to the 8th District.",96347963,black,female,0800 08TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0357,2016-07-29,0800,LACK OF SERVICE,"According to the complainant, on 7-9-16 at 2:40pm, they did not receive proper service from officers assigned to the 8th District.",36015169,white,male,0800 08TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0359,2016-07-28,0600,HARASSMENT,"According to the complainant, an officer assigned to the Community Relations Unit intentionally falsified and distributed departmental records.",95324518,white,male,1900 19TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0359,2016-07-28,0600,HARASSMENT,"According to the complainant, an officer assigned to the Community Relations Unit intentionally falsified and distributed departmental records.",62274209,white,male,9812 INTERNAL INVEST ADM,Lack of Service,No Sustained Findings,Not Applicable
16-0359,2016-07-28,0600,HARASSMENT,"According to the complainant, an officer assigned to the Community Relations Unit intentionally falsified and distributed departmental records.",69492570,white,male,9812 INTERNAL INVEST ADM,Lack of Service,No Sustained Findings,Not Applicable
16-0359,2016-07-28,0600,HARASSMENT,"According to the complainant, an officer assigned to the Community Relations Unit intentionally falsified and distributed departmental records.",50627672,white,female,9808 COMM RELATIONS UNIT,Harassment,No Sustained Findings,Not Applicable
16-0359,2016-07-28,0600,HARASSMENT,"According to the complainant, an officer assigned to the Community Relations Unit intentionally falsified and distributed departmental records.",90469934,black,male,9800 INTERNAL AFFAIRS,Lack of Service,No Sustained Findings,Not Applicable
16-0359,2016-07-28,0600,HARASSMENT,"According to the complainant, an officer assigned to the Community Relations Unit intentionally falsified and distributed departmental records.",85812417,white,male,9819 PERSONNEL UNIT,Harassment,No Sustained Findings,Not Applicable
16-0360,2016-08-01,1500,LACK OF SERVICE,"According to the complainant, on 7-1-16 at 3:45pm, they were treated unprofessionally by an officer assigned to the 15th District.",41729776,white,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0360,2016-08-01,1500,LACK OF SERVICE,"According to the complainant, on 7-1-16 at 3:45pm, they were treated unprofessionally by an officer assigned to the 15th District.",41729776,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0361,2016-08-01,1800,PHYSICAL ABUSE,"According to the complainant, on 7-1-16 at 9:20am, they were physically abused by officers assigned to the 18th District.",23233606,black,male,1800 18TH DISTRICT,Physical Abuse,Sustained Finding,No Guilty Findings
16-0361,2016-08-01,1800,PHYSICAL ABUSE,"According to the complainant, on 7-1-16 at 9:20am, they were physically abused by officers assigned to the 18th District.",61107942,black,male,1800 18TH DISTRICT,Physical Abuse,Sustained Finding,No Guilty Findings
16-0362,2016-08-02,2500,CRIMINAL ALLEGATION,"According to the complainant, on 7-19-16 at 7:30pm, they were improperly detained by officers assigned to the 25th District.",29584733,white,male,2500 25TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
16-0362,2016-08-02,2500,CRIMINAL ALLEGATION,"According to the complainant, on 7-19-16 at 7:30pm, they were improperly detained by officers assigned to the 25th District.",43053972,white,male,2500 25TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
16-0363,2016-08-03,2500,PHYSICAL ABUSE,"According to the complainant, on 1-8-16 at 3:00pm, they were physically abused by an officer assigned to 25th District.",79394685,black,female,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0363,2016-08-03,2500,PHYSICAL ABUSE,"According to the complainant, on 1-8-16 at 3:00pm, they were physically abused by an officer assigned to 25th District.",58350374,latino,female,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0364,2016-08-03,2500,PHYSICAL ABUSE,"According to the complainant, on 6-30-16 at 7:50pm, they were physically and verbally abused by an officer assigned to the 25th District.",90751115,white,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0365,2016-08-03,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-19-16 at 11:15am, they were verbally abused and treated unprofessionally by an officer assigned to the 35th District operating their privately owned vehicle. This incident occurred in the confines of the 6th District.",95517808,black,female,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0365,2016-08-03,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-19-16 at 11:15am, they were verbally abused and treated unprofessionally by an officer assigned to the 35th District operating their privately owned vehicle. This incident occurred in the confines of the 6th District.",95517808,black,female,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,No Guilty Findings
16-0366,2016-08-03,3500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-7-16 at 10:28am, they were verbally abused and treated unprofessionally by an officer assigned to the 35th District.",95517808,black,female,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0367,2016-07-27,0600,PHYSICAL ABUSE,"According to the complainant, on 7-24-16 at 3:00pm, they were physically abused and treated unprofessionally by officers assigned to the 22nd District.",42163907,black,male,2500 25TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0367,2016-07-27,0600,PHYSICAL ABUSE,"According to the complainant, on 7-24-16 at 3:00pm, they were physically abused and treated unprofessionally by officers assigned to the 22nd District.",80774156,white,male,2200 22ND DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0367,2016-07-27,0600,PHYSICAL ABUSE,"According to the complainant, on 7-24-16 at 3:00pm, they were physically abused and treated unprofessionally by officers assigned to the 22nd District.",42163907,black,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0368,2016-08-03,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-12-16 at 10:23pm, an officer assigned to the 19th District improperly issued them a parking citation.",80038415,black,female,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0369,2016-08-03,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-19-16 at 8:50am, they did not receive proper service from officers assigned to the 24th District.",16564561,white,male,2400 24TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0369,2016-08-03,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-19-16 at 8:50am, they did not receive proper service from officers assigned to the 24th District.",69573251,white,male,2400 24TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0370,2016-07-27,0300,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-25-16 at 5:00pm, they were treated unprofessionally and verbally abused by an officer assigned to the 12 District.",11393434,white,male,1200 12TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0371,2016-07-27,2200,LACK OF SERVICE,"According to the complainant, on 7-25-16 at 3:30am, officers assigned to the 22nd District did not provide them with proper service.",63235856,white,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0371,2016-07-27,2200,LACK OF SERVICE,"According to the complainant, on 7-25-16 at 3:30am, officers assigned to the 22nd District did not provide them with proper service.",79134446,white,female,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0371,2016-07-27,2200,LACK OF SERVICE,"According to the complainant, on 7-25-16 at 3:30am, officers assigned to the 22nd District did not provide them with proper service.",63235856,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0371,2016-07-27,2200,LACK OF SERVICE,"According to the complainant, on 7-25-16 at 3:30am, officers assigned to the 22nd District did not provide them with proper service.",79134446,white,female,2200 22ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0371,2016-07-27,2200,LACK OF SERVICE,"According to the complainant, on 7-25-16 at 3:30am, officers assigned to the 22nd District did not provide them with proper service.",79134446,white,female,2200 22ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0372,2016-08-03,1200,CRIMINAL ALLEGATION,"According to the complainant, on 6-21-16 at 3:30pm, after officers assigned to the 12th District conducted a search warrant at their residence they found property missing.",88118860,white,male,7401 NARC FIELD UNIT,Criminal Allegation,No Sustained Findings,Not Applicable
16-0372,2016-08-03,1200,CRIMINAL ALLEGATION,"According to the complainant, on 6-21-16 at 3:30pm, after officers assigned to the 12th District conducted a search warrant at their residence they found property missing.",15341646,white,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0373,2016-08-03,3500,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 7-27-16 at 12:15pm, officers assigned to the 35th District used racial profiling as a reason for conducting a vehicle investigation.",59631997,white,male,3500 35TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
16-0373,2016-08-03,3500,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 7-27-16 at 12:15pm, officers assigned to the 35th District used racial profiling as a reason for conducting a vehicle investigation.",45911790,white,male,3500 35TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
16-0374,2016-07-27,0900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-26-16 at 6:54pm, an officer assigned to the Traffic conducted themselves unprofessionally while on a traffic post.",28261567,black,male,5200 TRAFFIC DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0375,2016-08-03,7700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-15-15 their vehicle was illegally searched and impounded by officers assigned to the 35th District.",44041883,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0375,2016-08-03,7700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-15-15 their vehicle was illegally searched and impounded by officers assigned to the 35th District.",75181772,white,male,3900 39TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0377,2016-08-10,1200,VERBAL ABUSE,"According to the complainant, on 7-26-16 at 5:30pm, they were treated unprofessionally by a sergeant assigned to the 12th District.",87110177,black,female,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Guilty Finding
16-0377,2016-08-10,1200,VERBAL ABUSE,"According to the complainant, on 7-26-16 at 5:30pm, they were treated unprofessionally by a sergeant assigned to the 12th District.",87110177,black,female,1200 12TH DISTRICT,Verbal Abuse,Sustained Finding,Guilty Finding
16-0377,2016-08-10,1200,VERBAL ABUSE,"According to the complainant, on 7-26-16 at 5:30pm, they were treated unprofessionally by a sergeant assigned to the 12th District.",87110177,black,female,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Guilty Finding
16-0377,2016-08-10,1200,VERBAL ABUSE,"According to the complainant, on 7-26-16 at 5:30pm, they were treated unprofessionally by a sergeant assigned to the 12th District.",87110177,black,female,1200 12TH DISTRICT,Unprofessional Conduct,Sustained Finding,Guilty Finding
16-0378,2016-08-10,0200,LACK OF SERVICE,"According to the complainant, on 7-30-16 at 1:00pm, they did not receive proper service from an officer assigned to the Traffic.",28261567,black,male,5200 TRAFFIC DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0379,2016-08-10,2500,LACK OF SERVICE,"According to the complainant, on 6-30-16 at 3:38pm, they did not receive proper service from officers assigned to the 25th District.",92723504,white,male,2500 25TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0379,2016-08-10,2500,LACK OF SERVICE,"According to the complainant, on 6-30-16 at 3:38pm, they did not receive proper service from officers assigned to the 25th District.",51141454,white,male,2500 25TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0379,2016-08-10,2500,LACK OF SERVICE,"According to the complainant, on 6-30-16 at 3:38pm, they did not receive proper service from officers assigned to the 25th District.",92723504,white,male,2500 25TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0379,2016-08-10,2500,LACK OF SERVICE,"According to the complainant, on 6-30-16 at 3:38pm, they did not receive proper service from officers assigned to the 25th District.",92723504,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0380,2016-08-10,2500,LACK OF SERVICE,"According to the complainant, on 8-2-16 at 9:35pm, they did not receive proper service and was treated unprofessionally by a corporal and an officer assigned to the 25th District.",81817170,black,female,2500 25TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0380,2016-08-10,2500,LACK OF SERVICE,"According to the complainant, on 8-2-16 at 9:35pm, they did not receive proper service and was treated unprofessionally by a corporal and an officer assigned to the 25th District.",21250573,black,female,2500 25TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0380,2016-08-10,2500,LACK OF SERVICE,"According to the complainant, on 8-2-16 at 9:35pm, they did not receive proper service and was treated unprofessionally by a corporal and an officer assigned to the 25th District.",21250573,black,female,2500 25TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0380,2016-08-10,2500,LACK OF SERVICE,"According to the complainant, on 8-2-16 at 9:35pm, they did not receive proper service and was treated unprofessionally by a corporal and an officer assigned to the 25th District.",81817170,black,female,2500 25TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0381,2016-08-03,2500,HARASSMENT,"According to the complainant, on 7-7-14 at 1:30pm, they did not receive proper service from and was harassed by a detective assigned to the Special Victims Unit.",83619272,white,male,6702 Special Victims Unit,Harassment,No Sustained Findings,Not Applicable
16-0381,2016-08-03,2500,HARASSMENT,"According to the complainant, on 7-7-14 at 1:30pm, they did not receive proper service from and was harassed by a detective assigned to the Special Victims Unit.",83619272,white,male,6702 Special Victims Unit,Lack of Service,No Sustained Findings,Not Applicable
16-0382,2016-08-11,0500,LACK OF SERVICE,"According to the complainant, on 1-16-16 at 10:09am, they did not receive proper service from an officers assigned to the 5th District.",67907106,white,male,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0383,2016-08-11,0700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-6-16 at 1:21pm, proper police procedures were not followed by an officer assigned to the 7th District.",49022638,white,male,0700 07TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0384,2016-08-11,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-26-15 at 12:00pm, they were physically abused, harassed and threatened by an officer assigned to Narcotics Strike Force Unit.",87783777,white,male,7402 NARCOTICS STRIKE FO,Physical Abuse,No Sustained Findings,Not Applicable
16-0385,2016-08-11,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-2-16 at 9:45pm, they did not receive proper service from officers assigned to the 19th District.",46706239,white,male,1900 19TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0386,2016-08-15,2200,LACK OF SERVICE,"According to the complainant, on 8-1-16 at 10:45am, they did not receive proper service from a sergeant and other officers assigned to the 22nd District.",56888162,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0386,2016-08-15,2200,LACK OF SERVICE,"According to the complainant, on 8-1-16 at 10:45am, they did not receive proper service from a sergeant and other officers assigned to the 22nd District.",99367143,latino,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0386,2016-08-15,2200,LACK OF SERVICE,"According to the complainant, on 8-1-16 at 10:45am, they did not receive proper service from a sergeant and other officers assigned to the 22nd District.",26148759,black,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0387,2016-08-15,2200,VERBAL ABUSE,"According to the complainant, on 8-6-16 at 1:30pm, they were verbally abused and threatened by an officer assigned to the 22nd District.",17997934,black,male,2200 22ND DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0388,2016-08-15,1900,LACK OF SERVICE,"According to the complainant, on 4-18-16 at 10:00pm, they did not receive proper service from officers assigned to the 19th District.",42123224,white,male,6500 SOUTHWEST DET,Lack of Service,No Sustained Findings,Not Applicable
16-0389,2016-08-15,0400,VERBAL ABUSE,"According to the complainant, on 6-16-16 at 1:00am, they were treated unprofessionally by a detective assigned to Northwest Detective Division.",93764116,black,male,6600 NORTHWEST DETECTIVE,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0390,2016-08-15,1500,HARASSMENT,"According to the complainant, on 6-27-16 ,they were harassed by an off duty officer assigned to Civil Affairs. This incident occurred in the confines of the 15th District.",30640451,latino,female,9803 CIVIL AFFAIRS UNIT,Harassment,No Sustained Findings,Not Applicable
16-0392,2016-08-16,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-11-16 at 5:50pm, an officer assigned to the 16th District improperly issued them a citation and confiscated their property.",19466153,white,male,1600 16TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0392,2016-08-16,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-11-16 at 5:50pm, an officer assigned to the 16th District improperly issued them a citation and confiscated their property.",19466153,white,male,1600 16TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0393,2016-08-22,0900,PHYSICAL ABUSE,"According to the complainant, on 8-11-16 at 9:00pm, they were improperly detained and physically abused by a officer assigned to the 9th District.",89316369,asian,male,0900 09TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0394,2016-08-24,0300,PHYSICAL ABUSE,"According to the complainant, on 7-26-16 at 8:00pm, they were physically abused by a supervisor assigned to the 3rd District.",87629625,white,male,1900 19TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0397,2016-08-22,2500,LACK OF SERVICE,"According to the complainant, on 8-12-16 at 8:35pm, they did not receive proper service from a sergeant assigned to the 24th District.",80691072,white,male,2400 24TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0397,2016-08-22,2500,LACK OF SERVICE,"According to the complainant, on 8-12-16 at 8:35pm, they did not receive proper service from a sergeant assigned to the 24th District.",73119603,black,male,2400 24TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0398,2016-08-22,2400,LACK OF SERVICE,"According to the complainant, on 7-18-16 at 11:50am, they did not receive proper service from officers assigned to the 24th District.",20439130,white,female,4921 RADIO ROOM,Lack of Service,No Sustained Findings,Not Applicable
16-0398,2016-08-22,2400,LACK OF SERVICE,"According to the complainant, on 7-18-16 at 11:50am, they did not receive proper service from officers assigned to the 24th District.",24044191,white,male,2400 24TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0398,2016-08-22,2400,LACK OF SERVICE,"According to the complainant, on 7-18-16 at 11:50am, they did not receive proper service from officers assigned to the 24th District.",85100023,white,male,2400 24TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0398,2016-08-22,2400,LACK OF SERVICE,"According to the complainant, on 7-18-16 at 11:50am, they did not receive proper service from officers assigned to the 24th District.",57955552,white,male,4921 RADIO ROOM,Lack of Service,No Sustained Findings,Not Applicable
16-0400,2016-08-24,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-9-16, at 9:45pm, they were verbally abused by an officer assigned to the 6th District.",26171762,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0400,2016-08-24,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-9-16, at 9:45pm, they were verbally abused by an officer assigned to the 6th District.",26171762,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0401,2016-08-25,3900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-10-16, at 5:00pm, they did not receive proper service and was treated unprofessionally by officers assigned to the 39th District.",49017145,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0401,2016-08-25,3900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-10-16, at 5:00pm, they did not receive proper service and was treated unprofessionally by officers assigned to the 39th District.",49017145,white,male,3900 39TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0402,2016-08-25,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-16-16, at 8:34pm, they are missing property after they were stopped by officers assigned to the 35th District.",90262910,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0402,2016-08-25,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-16-16, at 8:34pm, they are missing property after they were stopped by officers assigned to the 35th District.",71832315,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0403,2016-08-25,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-16-16 at 8:36pm, they were physically abused by officers assigned to the 19th District.",89453527,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0405,2016-08-25,1800,VERBAL ABUSE,"According to the complainant, on 8-17-16 at 8:50am, they were verbally abused by off duty officer assigned to the 18th District.",86631414,white,male,1800 18TH DISTRICT,Verbal Abuse,Sustained Finding,Training/Counseling
16-0406,2016-08-25,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-28-16 at 3:00pm, they were improperly searched by officers assigned to the 15th District.",70470182,latino,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0406,2016-08-25,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-28-16 at 3:00pm, they were improperly searched by officers assigned to the 15th District.",94992868,latino,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0407,2016-08-25,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-14-16 at 1:00pm, they were treated unprofessionally by officers assigned to the 19th District officers.",25528375,white,male,9807 SUPP POLICE SERVICE,Departmental Violation,No Sustained Findings,Not Applicable
16-0407,2016-08-25,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-14-16 at 1:00pm, they were treated unprofessionally by officers assigned to the 19th District officers.",25528375,white,male,9807 SUPP POLICE SERVICE,Departmental Violation,No Sustained Findings,Not Applicable
16-0407,2016-08-25,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-14-16 at 1:00pm, they were treated unprofessionally by officers assigned to the 19th District officers.",63150712,black,male,9807 SUPP POLICE SERVICE,Departmental Violation,No Sustained Findings,Not Applicable
16-0407,2016-08-25,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-14-16 at 1:00pm, they were treated unprofessionally by officers assigned to the 19th District officers.",63150712,black,male,9807 SUPP POLICE SERVICE,Departmental Violation,No Sustained Findings,Not Applicable
16-0409,2016-08-25,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-13-16 at 6:10am, they were treated unprofessionally by officers assigned to the 18th District.",88173105,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
